City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,-5.09,80,20,5.66,SJ,1675658855
83,katsuura,35.1333,140.3,11.6,46,86,2.45,JP,1675658801
84,kapaa,22.0752,-159.319,25.99,86,100,6.17,US,1675658783
85,huarmey,-10.0681,-78.1522,22.26,82,83,2.07,PE,1675658889
86,san patricio,28.017,-97.5169,18.92,93,0,3.5,US,1675658808
87,ginir,7.1333,40.7,16.67,32,64,0.09,ET,1675658981
88,rudsar,37.1376,50.288,6.99,65,100,1.16,IR,1675658981
89,atuona,-9.8,-139.0333,26.06,76,12,7.3,PF,1675658982
90,souillac,-20.5167,57.5167,27.21,78,40,3.6,MU,1675658887
91,carbonia,39.1672,8.5222,11.36,80,99,3.94,IT,1675658982
92,upernavik,72.7868,-56.1549,-26.58,93,100,6.61,GL,1675658732
93,jardim,-21.4803,-56.1381,20.88,77,11,1.13,BR,1675658982
94,wladyslawowo,54.7909,18.4009,-0.85,92,100,4.94,PL,1675658983
95,black diamond,47.3087,-122.0032,7.31,88,100,1.34,US,1675658728
96,aklavik,68.2191,-135.0107,-41.59,100,42,0.51,CA,1675658983
97,vaini,-21.2,-175.2,28.09,74,20,3.09,TO,1675658820
98,leningradskiy,69.3833,178.4167,-30.13,98,100,2.26,RU,1675658852
99,ozark,37.0209,-93.206,8.55,72,15,2.71,US,1675658984
100,rocha,-34.4833,-54.3333,15.68,94,2,2.71,UY,1675658984
101,malindi,-3.2175,40.1191,24.09,83,40,0.0,KE,1675658984
102,lethem,3.3803,-59.7968,23.6,79,100,5.2,GY,1675658984
103,zhigalovo,54.8097,105.1578,-9.67,90,100,1.95,RU,1675658985
104,vrangel,42.7297,133.0839,-1.09,40,6,3.18,RU,1675658985
105,guigue,10.0853,-67.7792,21.83,87,93,0.82,VE,1675658986
106,kavieng,-2.5744,150.7967,28.65,72,85,3.18,PG,1675658810
107,kodinar,20.7903,70.7031,26.87,35,15,3.85,IN,1675658986
108,tahoua,14.8888,5.2692,22.91,16,100,5.64,NE,1675658986
109,ialibu,-6.2821,143.9935,16.97,93,100,1.46,PG,1675658986
110,dikson,73.5069,80.5464,-17.85,97,100,1.47,RU,1675658987
111,olafsvik,64.8945,-23.7142,1.58,76,76,14.62,IS,1675658987
112,verkh-usugli,52.7,115.1667,-11.24,58,13,2.58,RU,1675658987
113,belmonte,-15.8631,-38.8828,25.12,85,0,3.46,BR,1675658931
114,sorgun,39.8101,35.186,-3.07,93,100,6.79,TR,1675658988
115,la baule-escoublac,47.2922,-2.364,2.12,91,0,4.12,FR,1675658988
116,wawa,9.9022,4.4192,25.48,23,100,0.74,NG,1675658735
117,port lincoln,-34.7333,135.8667,21.81,58,2,4.9,AU,1675658984
118,port elizabeth,-33.918,25.5701,23.39,97,100,3.6,ZA,1675658988
119,jamestown,42.097,-79.2353,3.9,89,100,3.6,US,1675658702
120,hobyo,5.3505,48.5268,25.72,69,82,7.3,SO,1675658985
121,abilene,32.4487,-99.7331,16.16,50,0,6.69,US,1675658756
122,khatanga,71.9667,102.5,-36.85,99,48,2.74,RU,1675658806
123,kahului,20.8947,-156.47,24.91,78,0,8.75,US,1675658892
124,cherskiy,68.75,161.3,-40.13,100,100,2.09,RU,1675658771
125,nemuro,43.3236,145.575,-1.52,71,70,0.87,JP,1675658834
126,kodiak,57.79,-152.4072,1.73,80,100,14.92,US,1675658989
127,khash,28.2211,61.2158,10.65,30,0,2.68,IR,1675658989
128,qaanaaq,77.484,-69.3632,-24.4,91,66,2.76,GL,1675658704
129,hambantota,6.1241,81.1185,27.19,94,40,4.12,LK,1675658990
130,mojokerto,-7.4664,112.4338,31.84,68,94,3.22,ID,1675658990
131,barrow,71.2906,-156.7887,-29.99,83,75,0.0,US,1675658868
132,rustenburg,-25.6676,27.2421,21.58,55,8,1.72,ZA,1675658990
133,vardo,70.3705,31.1107,2.99,87,40,8.75,NO,1675658990
134,mount isa,-20.7333,139.5,29.87,66,40,4.12,AU,1675658984
135,dunedin,-45.8742,170.5036,20.45,62,62,3.13,NZ,1675658709
136,bajil,15.0584,43.2851,24.23,77,10,1.54,YE,1675658991
137,meadow lake,34.8014,-106.5436,11.49,25,10,4.42,US,1675658729
138,pevek,69.7008,170.3133,-38.15,100,96,1.44,RU,1675658845
139,santa isabel do rio negro,-0.4139,-65.0192,21.94,98,90,1.13,BR,1675658991
140,malampaka,-3.1333,33.5333,18.41,88,96,1.69,TZ,1675658992
141,saint george,37.1041,-113.5841,5.7,79,100,5.66,US,1675658816
142,iqaluit,63.7506,-68.5145,-26.84,62,75,7.72,CA,1675658858
143,college,64.8569,-147.8028,-17.01,81,20,3.09,US,1675658778
144,jiexiu,37.0244,111.9125,7.39,34,80,2.06,CN,1675658992
145,bijar,35.8668,47.6051,-7.61,98,100,1.63,IR,1675658992
146,vestmannaeyjar,63.4427,-20.2734,4.74,67,100,14.61,IS,1675658993
147,balykshi,47.0667,51.8667,-7.0,93,100,3.0,KZ,1675658993
148,ribeira grande,38.5167,-28.7,15.99,95,100,6.26,PT,1675658993
149,wonthaggi,-38.6044,145.5913,19.9,67,64,5.06,AU,1675658993
150,garowe,8.4054,48.4845,20.31,73,46,4.58,SO,1675658994
151,mareeba,-17.0,145.4333,30.8,77,100,2.87,AU,1675658994
152,koygorodok,60.445,50.9968,-23.82,100,100,0.53,RU,1675658994
153,vostochnyy,55.8167,37.8667,-4.04,98,89,1.6,RU,1675658995
154,buala,-8.145,159.5921,24.86,93,100,4.7,SB,1675658995
155,sao filipe,14.8961,-24.4956,20.09,64,56,7.7,CV,1675658995
156,nicoya,10.1483,-85.452,23.32,75,42,5.84,CR,1675658996
157,namatanai,-3.6667,152.4333,28.73,70,91,2.16,PG,1675658947
158,melo,-32.3667,-54.1833,17.67,93,0,2.3,UY,1675658996
159,juneau,58.3019,-134.4197,2.34,94,100,9.77,US,1675658728
160,rapid valley,44.0625,-103.1463,2.57,71,0,5.36,US,1675658996
161,touros,-5.1989,-35.4608,25.64,82,15,3.2,BR,1675658844
162,itzehoe,53.921,9.5153,0.53,94,76,2.69,DE,1675658768
