City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,beira,-19.8436,34.8389,27.05,78,20,4.12,MZ,1675375512
84,kathu,7.9178,98.3332,23.9,81,99,2.51,TH,1675375513
85,lucea,18.451,-78.1736,27.92,76,34,6.18,JM,1675375513
86,umred,20.85,79.3333,13.16,25,86,3.64,IN,1675375513
87,kahului,20.8947,-156.47,28.87,72,20,5.66,US,1675375514
88,roebourne,-20.7833,117.1333,29.7,67,64,1.77,AU,1675375514
89,narrabri,-30.3167,149.7833,23.62,58,1,0.45,AU,1675375515
90,hilo,19.7297,-155.09,29.6,81,79,3.58,US,1675375213
91,praxedis guerrero,31.3667,-106.0167,15.7,25,0,4.5,MX,1675375515
92,ostrovnoy,68.0531,39.5131,-5.86,88,100,2.29,RU,1675375299
93,tiksi,71.6872,128.8694,-33.72,98,82,3.33,RU,1675375176
94,rovinj,45.08,13.64,4.6,75,6,1.93,HR,1675375515
95,inuvik,68.3499,-133.7218,-31.52,68,20,2.57,CA,1675375269
96,belle glade,26.6845,-80.6676,27.81,55,7,1.42,US,1675375332
97,hermanus,-34.4187,19.2345,16.0,78,6,3.17,ZA,1675375175
98,byron bay,-28.65,153.6167,26.51,82,17,1.59,AU,1675375172
99,dannenberg,53.0967,11.09,3.97,93,100,3.73,DE,1675375295
100,hambantota,6.1241,81.1185,24.19,100,75,4.12,LK,1675375186
101,hays,30.0502,-98.0336,4.66,91,100,2.24,US,1675375331
102,saint-philippe,-21.3585,55.7679,24.77,88,64,5.67,RE,1675375284
103,praya,14.9215,-23.5087,21.3,73,75,9.26,CV,1675375516
104,mazagao,-0.115,-51.2894,25.03,90,99,2.19,BR,1675375516
105,novikovo,51.1537,37.8879,-1.87,97,97,3.19,RU,1675375517
106,thompson,55.7435,-97.8558,-27.91,63,20,5.14,CA,1675375085
107,new norfolk,-42.7826,147.0587,12.73,70,9,1.46,AU,1675375217
108,liling,27.6667,113.5,3.99,81,100,2.57,CN,1675375517
109,konosha,60.9736,40.257,-5.46,96,100,1.71,RU,1675375518
110,poronaysk,49.2167,143.1167,-22.41,88,100,2.25,RU,1675375518
111,hammerfest,70.6634,23.6821,-2.75,93,40,1.03,NO,1675375341
112,nanortalik,60.1432,-45.2371,-10.36,77,98,6.08,GL,1675375285
113,mmabatho,-25.85,25.6333,20.98,78,88,3.6,ZA,1675375269
114,pevek,69.7008,170.3133,-25.81,100,68,1.26,RU,1675375328
115,east london,-33.0153,27.9116,22.63,83,68,1.48,ZA,1675375284
116,isangel,-19.55,169.2667,29.33,72,35,3.97,VU,1675375234
117,rafraf,37.1904,10.1837,12.17,76,97,4.7,TN,1675375518
118,denizli,37.8402,29.0698,3.19,56,14,1.16,TR,1675375232
119,pitsunda,43.1592,40.3378,3.1,67,100,3.05,GE,1675375519
120,katsuura,35.1333,140.3,4.44,93,100,7.08,JP,1675375096
121,thinadhoo,0.5333,72.9333,27.42,66,28,5.36,MV,1675375426
122,purgstall,48.0584,15.1348,3.08,98,100,3.11,AT,1675375519
123,college,64.8569,-147.8028,-10.79,83,100,1.54,US,1675375187
124,pyskowice,50.4,18.6333,1.32,83,68,2.68,PL,1675375520
125,mogadishu,2.0371,45.3438,24.42,81,81,8.17,SO,1675375184
126,kumla,59.1277,15.1434,-7.04,93,0,2.57,SE,1675375520
127,tuatapere,-46.1333,167.6833,23.12,68,42,0.22,NZ,1675375521
128,kalmunai,7.4167,81.8167,24.35,91,97,2.2,LK,1675375521
